city,timestamp_utc,cycle_id,station_uid,station_name,lat,lon,pm25,pm10,no2,so2,co,o3,aqi,dominentpol,aqi_time,data_age_hours,current_speed,congestion_percent,nearest_source,nearest_source_dist_km,bearing_AluminiumSmelter,bearing_CHP,bearing_Kazzinc,bearing_Qarmet,bearing_UMZ,dist_AluminiumSmelter_km,dist_CHP_km,dist_Kazzinc_km,dist_Qarmet_km,dist_UMZ_km,downwind_AluminiumSmelter,downwind_CHP,downwind_Kazzinc,downwind_Qarmet,downwind_UMZ,temp_c,humidity,pressure,wind_speed,wind_deg,weather_desc,heating_season
Ust-Kamenogorsk,2026-09-07T01:40:03.531694+00:00,1788745203,517390,"Серікбаев көшесі, 19",49.956986944444,82.592090555556,5,1,1,53,2,3,3,pm25,2026-09-07T00:00:00Z,1.7,41,0,UMZ,1.02,,304.9,214.9,,282.5,,3.31,3.12,,1.02,,0,1,,0,8.99,87,1020,0,0,overcast clouds,0
Ust-Kamenogorsk,2026-09-07T01:40:03.531694+00:00,1788745203,517402,"Лев Толстой к-сі, 18",49.944817777778,82.653340277778,7,1,,0,0,1,7,pm25,2026-09-07T00:00:00Z,1.7,42,2.3,CHP,1.76,,72.2,146.4,,108.5,,1.76,4.7,,3.58,,0,1,,0,8.99,87,1020,0,0,overcast clouds,0
Ust-Kamenogorsk,2026-09-07T01:40:03.531694+00:00,1788745203,517507,"М. Тынышпаев к-сі, 126",50.009261944444,82.564498888889,0,0,61,0,21,,-,pm25,2026-08-26T09:00:00Z,280.7,69,0,Kazzinc,4.97,,328.7,310.9,,333.8,,9.02,4.97,,6.73,,0,0,,0,8.99,87,1020,0,0,overcast clouds,0
Karaganda,2026-09-07T01:40:03.531694+00:00,1788745203,506290,Майқұдық,49.89696663495,73.21133762598,50,12,,,,,50,pm25,2026-09-07T00:44:58Z,0.9,54,0,,,,,,,,,,,,,,,,,,5.95,32,1022,1.4,97,clear sky,0
Karaganda,2026-09-07T01:40:03.531694+00:00,1788745203,517423,"Мұқанов көшесі,57/3",49.786533888889,73.168150833333,211,113,2,0,1,1,-,pm25,2026-07-02T11:00:00Z,1598.7,45,0,,,,,,,,,,,,,,,,,,5.95,32,1022,1.4,97,clear sky,0
Pavlodar,2026-09-07T01:40:03.531694+00:00,1788745203,520273,  Торайғыров генералы Дүйсенов көшесі,52.294865277778,76.942828333333,32,12,24,2,0,0,32,pm25,2026-09-07T00:00:00Z,1.7,38,0,AluminiumSmelter,7.57,254.6,,,,,7.57,,,,,1,,,,,13.92,67,1022,3,120,clear sky,0
Pavlodar,2026-09-07T01:40:03.531694+00:00,1788745203,537550,"Естай к-сі, 54",52.281193333333,76.946898055556,4,1,0,2,5,1,4,pm25,2026-09-07T00:00:00Z,1.7,31,0,AluminiumSmelter,7.86,243.3,,,,,7.86,,,,,1,,,,,13.92,67,1022,3,120,clear sky,0
Pavlodar,2026-09-07T01:40:03.531694+00:00,1788745203,573904,Каз. Правда  к-сі,52.252530555556,76.974843611111,,,4,3,0,4,4,pm25,2026-09-07T00:00:00Z,1.7,43,0,AluminiumSmelter,8.46,217.3,,,,,8.46,,,,,0,,,,,13.92,67,1022,3,120,clear sky,0
Pavlodar,2026-09-07T01:40:03.531694+00:00,1788745203,573907,Ломов к-сі (ПМУ),52.264703055556,76.9640775,,,,0,0,0,0,pm25,2026-09-07T00:00:00Z,1.7,31,11.4,AluminiumSmelter,7.95,227.5,,,,,7.95,,,,,0,,,,,13.92,67,1022,3,120,clear sky,0
Pavlodar,2026-09-07T01:40:03.531694+00:00,1788745203,114532,Пед. колледж,52.2789,76.9384,78,27,,,,,-,pm25,2026-08-31T12:48:04Z,156.9,32,0,AluminiumSmelter,8.49,243.5,,,,,8.49,,,,,1,,,,,13.92,67,1022,3,120,clear sky,0
Astana,2026-09-07T01:40:03.531694+00:00,1788745203,10497,"Astana, US Embassy, Kazakhstan (Нұр-Сұлтан, АҚШ елшілігі)",51.125286,71.46722,,,14.4,10.6,5.7,0.1,11,so2,2026-09-07T06:00:00+06:00,1.7,35,2.8,,,,,,,,,,,,,,,,,,7.99,81,1021,3,80,clear sky,0
